timestamp,heart_rate,steps,sleep_duration
2025-10-13 00:00:00,65,0,480
2025-10-13 01:00:00,63,0,450
2025-10-13 02:00:00,64,0,420
2025-10-13 03:00:00,130,0,400
2025-10-13 04:00:00,66,0,360
2025-10-13 05:00:00,67,0,300
2025-10-13 06:00:00,65,10,180
2025-10-13 07:00:00,70,20,120
2025-10-13 08:00:00,72,100,60
2025-10-13 09:00:00,75,300,30
2025-10-13 10:00:00,80,500,20
2025-10-13 11:00:00,85,800,15
2025-10-13 12:00:00,90,1000,10
2025-10-13 13:00:00,95,1200,5
2025-10-13 14:00:00,100,1500,0
2025-10-13 15:00:00,110,1700,0
2025-10-13 16:00:00,105,1600,0
2025-10-13 17:00:00,95,1400,0
2025-10-13 18:00:00,85,1200,0
2025-10-13 19:00:00,75,800,0
2025-10-13 20:00:00,70,500,0
2025-10-13 21:00:00,68,200,0
2025-10-13 22:00:00,66,50,60
2025-10-13 23:00:00,64,10,180
